tau,N_8,N_16
0.25,17649.695464962253,17649.695466057285
0.5909090909090909,15868.600144108636,15868.600175889052
0.9318181818181818,15618.971207940811,15618.971402357502
1.2727272727272727,15540.273029259737,15540.273703395496
1.6136363636363635,15505.824324695219,15505.826063361703
1.9545454545454546,15487.760522042061,15487.764260072867
2.2954545454545454,15477.133955213872,15477.14105934899
2.6363636363636362,15470.361897515224,15470.37424777399
2.977272727272727,15465.783202206967,15465.803272648833
3.3181818181818183,15462.54216476745,15462.573103542447
3.659090909090909,15460.161450483503,15460.207159076968
4.0,15458.357593541545,15458.4228051201
4.340909090909091,15456.953513800514,15457.043870568838
4.681818181818182,15455.833853677424,15455.955983157448
5.0227272727272725,15454.920757102116,15455.082347248517
5.363636363636363,15454.160052173102,15454.36992524064
5.704545454545454,15453.51301837447,15453.781203454353
6.045454545454546,15452.951290997451,15453.289095141261
6.386363636363637,15452.45359989477,15452.87367774579
6.7272727272727275,15452.00362044735,15452.52004230057
7.068181818181818,15451.588522025646,15452.216840239365
7.409090909090909,15451.197967867869,15451.955281551916
7.75,15450.823415710945,15451.728433619002
8.090909090909092,15450.457623983975,15451.53072554063
8.431818181818182,15450.094301446878,15451.357595843243
8.772727272727273,15449.72785838163,15451.205241677286
9.113636363636363,15449.353230182121,15451.070440354744
9.454545454545455,15448.96575251764,15450.950422405573
9.795454545454545,15448.56107294512,15450.842781031672
10.136363636363637,15448.135087934894,15450.745406926693
10.477272727272727,15447.683897322031,15450.656440476894
10.818181818181818,15447.203770509372,15450.574235672417
11.159090909090908,15446.691120502754,15450.497331812543
11.5,15446.142483162921,15450.42443039248
11.840909090909092,15445.554499996417,15450.354375497196
12.181818181818182,15444.923903454484,15450.286136674464
12.522727272727273,15444.247504133,15450.218793683474
12.863636363636363,15443.522179528398,15450.151522777234
13.204545454545455,15442.744864154936,15450.083584327518
13.545454545454545,15441.912540906944,15450.014311679353
13.886363636363637,15441.022233584254,15449.943101156705
14.227272727272727,15440.07100051005,15449.869403151899
14.568181818181818,15439.05592916976,15449.79271423084
14.909090909090908,15437.9741317954,15449.71257018175
15.25,15436.822741815502,15449.628539930894
