Temperature,N_2,N_4,N_8,N_16,N_0
1.0,0.801575174337404,0.708866437518891,0.6851095729335217,0.6791332170878347,0.6771377760580799
0.6666666666666666,0.8015870673304949,0.4996856582039663,0.4202246063539428,0.4000978682259529,0.39336541944106557
0.5,1.2116148070698545,0.5304485599479206,0.3444669382681847,0.29690859498809,0.28095931270851
0.4,1.9504823547179626,0.700189896436901,0.3427879934799307,0.2502767424224051,0.21914955284573048
0.3333333333333333,3.0044216123162095,0.9980188678788727,0.3924821116768362,0.2334172162832965,0.17968126716159533
0.2857142857142857,4.354862590645059,1.4282707124822664,0.4886849461894758,0.23758408151537197,0.15235339376516172
0.25,5.970646431206163,1.9978361295117066,0.6319223574254041,0.2596529838370043,0.1326038859205922
0.2222222222222222,7.810336470666695,2.712607517579538,0.8246451195366308,0.29868475405753087,0.11807548418939177
0.2,9.826706893032528,3.5762415384636674,1.0699580324337603,0.3546792363250309,0.10737133917374801
0.18181818181818182,11.971166181056164,4.589764747756438,1.3710866411594156,0.4280634186722083,0.09954493778151649
0.16666666666666666,14.197284258901163,5.751563811144661,1.7311418490891446,0.5194745335561675,0.0938851878630885
0.15384615384615385,16.46318715903605,7.057571106193189,2.1530127813435227,0.6296683640625489,0.08982691265408221
0.14285714285714285,18.732888116997195,8.501552732894295,2.639314898081193,0.7594794881706609,0.08691340121916255
0.13333333333333333,20.976764099099825,10.075447745970393,3.1923618370714735,0.9098016969887226,0.08477919406084311
0.125,23.171424001468306,11.769727330241391,3.8141480948937048,1.081575610122139,0.08314004660525826
0.11764705882352941,25.299194562954117,13.57375292943581,4.506337484908968,1.2757783265803422,0.08178485377304014
0.1111111111111111,27.347404650267325,15.47611816938359,5.270254826184519,1.4934122934226435,0.08056653033951988
0.10526315789473684,29.307598107007472,17.46496347276274,6.106878410526687,1.7354904454093305,0.0793885650694665
0.1,31.17476042940537,19.528255625226546,7.016831269367079,2.0030150532299253,0.07818442135733979
