n,E_f_T,E_ref_T,sgn_true,sgn_E_T,E_f_H,E_ref_H,sgn_E_H
0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
1,1.0135673097266817,1.0135673097266817,1.0,1.0,1.0135673097266817,1.0135673097266817,1.0
2,3.01374891762407,2.013839713477239,0.013475282221304547,0.006741006581758406,3.01374891762407,2.013839713477239,0.006741006581758406
3,5.040082458407369,3.0138433922743952,4.662345487598935e-05,3.9817846937584845e-05,5.040082458407369,3.0138433922743952,3.9817846937584845e-05
4,8.022954514785852,4.013843433625652,6.239663790491827e-09,1.9693635729631867e-09,8.022954514785852,4.013843433625652,1.9693635729631867e-09
5,11.031849483345011,5.013843433943066,2.858239320821277e-13,8.551964775959534e-14,11.031849483345011,5.013843433943066,8.551964775959534e-14
6,14.078228144853709,6.013843433905207,4.537535791546042e-18,3.0790100074065335e-18,14.078228144853709,6.013843433905207,3.0790100074065335e-18
7,18.039286602800075,7.013843433156807,5.3318182218929294e-24,1.1443380912904797e-24,18.039286602800075,7.013843433156807,1.1443380912904797e-24
8,22.03668731795005,8.013843434184764,2.439918990608599e-30,3.5463484340885194e-31,22.03668731795005,8.013843434184764,3.5463484340885194e-31
9,26.05565096871487,9.013843434502178,5.0728359505913754e-37,9.867000067443417e-38,26.05565096871487,9.013843434502178,9.867000067443417e-38
10,30.12649209495066,10.013843434819591,4.181069463895117e-44,2.118060456850343e-44,30.12649209495066,10.013843434819591,2.118060456850343e-44
11,35.06210871080384,11.013843433715918,4.023890287904917e-52,6.023590699654842e-53,35.06210871080384,11.013843433715918,6.023590699654842e-53
12,40.04811727043034,12.013843434033332,1.635050136857725e-60,1.3315204578290088e-61,40.04811727043034,12.013843434033332,1.3315204578290088e-61
13,45.054687393530905,13.013843434350745,3.392586328815139e-69,2.6557755298591823e-70,45.054687393530905,13.013843434350745,2.6557755298591823e-70
14,50.0851370361488,14.013843434668159,3.607774753828923e-78,4.7009016894117825e-79,50.0851370361488,14.013843434668159,4.7009016894117825e-79
