T,N_2,N_20,N_200
13.333333333333332,0.5330396042738252,0.5317372088842868,0.5317241772167769
8.0,0.28631454923271354,0.28028307004678377,0.2802226630171163
5.714285714285714,0.20749764105113472,0.1909691215835991,0.19080335107170845
4.444444444444445,0.18025232909656183,0.14518799709071384,0.1448356660183204
3.6363636363636362,0.18111287261531409,0.11724185147574945,0.11659856726246476
3.0769230769230775,0.20361073605236904,0.09847816227550571,0.09741634286800466
2.6666666666666665,0.2461152368530518,0.08514014404599088,0.08350902399124883
2.352941176470588,0.3087855350420998,0.07532814422781749,0.07295378181040033
2.1052631578947367,0.3925421232238602,0.0679800107834367,0.06466529625703801
1.9047619047619047,0.49864595600627787,0.06245850423643828,0.05798316915272341
1.7391304347826089,0.628500856371616,0.058361335782859174,0.052481963413475746
1.6,0.7835503925025471,0.05542497706862544,0.04787501392243594
1.4814814814814814,0.9652192674329663,0.05347224437276313,0.04396201280575071
1.3793103448275863,1.174877610403068,0.05238201500179066,0.04059872691893573
1.2903225806451613,1.4138179892245204,0.05207087280079028,0.03767864444864855
1.2121212121212122,1.6832400049003489,0.052481530290611506,0.035121398140118276
1.1428571428571428,1.9842397199474289,0.05357527366515167,0.03286521138259101
1.081081081081081,2.3178023737927522,0.05532688706315716,0.030861823568245697
1.0256410256410258,2.684797473184009,0.05772115495462987,0.029072993563095083
0.9756097560975611,3.0859756943823844,0.06075039771952941,0.027468036370987735
0.9302325581395348,3.5219672322230355,0.06441270061566735,0.02602205318512493
0.8888888888888888,3.993281347044186,0.06871061844324255,0.024714637127488094
0.8510638297872342,4.500306929806275,0.07365021301579318,0.023528911806989614
0.8163265306122448,5.043313948060251,0.0792403276326018,0.022450806860500036
0.7843137254901962,5.622455661704094,0.0854920330330231,0.021468504988374187
0.7547169811320754,6.237771514201225,0.09241819924874319,0.0205720148735371
0.7272727272727273,6.88919061579508,0.10003316110813536,0.01975283776281465
0.7017543859649124,7.576535742687944,0.10835245427831239,0.019003704571849293
0.6779661016949152,8.299527781437384,0.11739260500741447,0.018318366696214283
0.6557377049180328,9.057790551982727,0.1271709611932383,0.017691428144946352
0.6349206349206349,9.850855946182882,0.13770555555853176,0.017118209767851215
0.6153846153846154,10.678169321938315,0.14901499396966694,0.016594638649203887
0.5970149253731344,11.539095096083878,0.16111836365812274,0.016117157364062433
0.5797101449275363,12.43292248233933,0.17403515725598206,0.01568264908873731
0.5633802816901409,13.358871323825642,0.1877852095532424,0.015288375389106122
0.547945205479452,14.316097972961709,0.20238864450051242,0.014931924282688547
0.5333333333333333,15.303701174982702,0.21786583055963227,0.014611166626679105
0.5194805194805195,16.320727914827263,0.234237342872912,0.014324219333832147
0.5063291139240506,17.366179190671428,0.25152393104692716,0.01406941418958796
0.4938271604938272,18.439015681049383,0.2697464915624577,0.013845271298707012
0.48192771084337344,19.538163275987458,0.2889260440576694,0.013650476401732862
0.47058823529411764,20.66251844619722,0.30908371081448643,0.013483861383539922
0.4597701149425288,21.810953427784305,0.3302406989629342,0.013344387509270104
0.449438202247191,22.982321203326592,0.3524182849357333,0.013231130900040673
0.43956043956043955,24.175460263362055,0.37563780088666016,0.013143269956494053
0.4301075268817204,25.38919913543896,0.3999206226956843,0.013080074399296381
0.42105263157894735,26.622360670752087,0.4252881594206728,0.013040895704128322
0.4123711340206186,27.873766081171393,0.4517618438837035,0.013025158725349045
0.40404040404040403,29.142238721836428,0.4793631243367163,0.013032354332057185
0.39603960396039606,30.4266076170589,0.5081134569649057,0.013062032933318778
0.3883495145631068,31.72571072909012,0.5380342991696295,0.01311379873913329
0.38095238095238093,33.03839797148428,0.5691471035061105,0.013187304705562088
0.3738317757009346,34.36353397028124,0.6014733121896063,0.013282248006765186
0.36697247706422015,35.70000057784945,0.6350343521161586,0.013398366039337977
0.3603603603603604,37.04669914550546,0.6698516302778663,0.01353543284295863
0.35398230088495575,38.40255256206742,0.7059465296151651,0.013693255879979844
0.34782608695652173,39.766507066584296,0.7433404051497745,0.013871673169566683
0.3418803418803419,41.1375338441021,0.7820545804537419,0.014070550698821117
0.3361344537815126,42.51463041404746,0.822110344345795,0.01428978009028759
0.3305785123966942,43.896821821228926,0.8635289478390851,0.014529276502492217
0.3252032520325203,45.283161639834105,0.906331601290584,0.014788976707903467
0.32,46.67273280098278,0.9505394717113124,0.015068837379672627
0.31496062992125984,48.06464825453767,0.9961736802810799,0.01536883350768986
0.31007751937984496,49.45805147587933,1.043255299953792,0.015688956956703064
0.3053435114503817,50.852116828306286,1.0918053532494623,0.01602921519276691
0.3007518796992481,52.24604979151337,1.1418448101156655,0.016389630040579875
0.2962962962962963,53.639087066502704,1.1933945859267125,0.016770236626251805
0.29197080291970806,55.03049656688832,1.2464755395668923,0.01717108234629054
0.28776978417266186,56.41957730639394,1.3011084716042418,0.01759222598244157
0.28368794326241137,57.805659191837485,1.3573141225422631,0.01803373680520003
0.2797202797202797,59.188102730687035,1.4151131711450708,0.018495693831367944
0.27586206896551724,60.56629866172817,1.4745262328287276,0.018978185098870948
0.272108843537415,61.939667517078924,1.5355738581296337,0.01948130699216825
0.2684563758389262,63.30765912328951,1.5982765311870712,0.020005163636828412
0.26490066225165565,64.66975204886826,1.6626546683305152,0.020549866342282556
0.26143790849673204,66.0254530051376,1.7287286167100138,0.02111553307047484
0.25806451612903225,67.37429620687912,1.7965186528987411,0.021702287953886037
0.25477707006369427,68.71584269878004,1.8660449816445783,0.02231026086488168
0.25157232704402516,70.04967965339719,1.9373277346047326,0.022939586978558593
