tau,N_2,N_20,N_200
0.05,5632.162422409899,5632.131278891217,5632.130967615322
0.1,5159.5213092242575,5159.487705354754,5159.487371766696
0.15,5069.851041080007,5069.816646488744,5069.8163148386775
0.2,5038.702155427949,5038.665350025402,5038.665020678381
0.25,5024.403099796094,5024.360942360641,5024.360615027961
0.3,5016.704446540857,5016.652374237179,5016.652048458069
0.35,5012.109972288494,5012.041456569613,5012.041131681877
0.4,5009.1666218652845,5009.0728327001825,5009.072507803706
0.45,5007.184535416885,5007.054016023279,5007.05368994344
0.5,5005.803381373592,5005.621734850993,5005.6214061021155
0.55,5004.8211215623105,5004.5707107195985,5004.570377468391
0.6,5004.11827614877,5003.777937718713,5003.777597747745
0.65,5003.621349064501,5003.166123388477,5003.165774059662
0.7,5003.283876951325,5002.684754102193,5002.684392320298
0.75,5003.0760249070045,5002.299708097836,5002.299330274
0.8,5002.978590148447,5001.987277151102,5001.9868791663985
0.85,5002.979399380837,5001.730582552566,5001.730159721572
0.9,5003.071064459955,5001.5173498495105,5001.516896883906
0.95,5003.249538603829,5001.338484482349,5001.337995454552
1.0,5003.513160319719,5001.18713535722,5001.186603664044
1.05,5003.862003276001,5001.058064462628,5001.057482788977
1.1,5004.297423167838,5000.947213461334,5000.94657374392
1.15,5004.821734447278,5000.851400015316,5000.850693406431
1.2,5005.4379745265305,5000.768101345478,5000.767318176774
1.25,5006.149728087536,5000.695297558621,5000.694427304961
1.3,5006.960993475274,5000.631356625689,5000.6303878690105
1.35,5007.876079090105,5000.574948840667,5000.573869233908
1.4,5008.899521541741,5000.524982444955,5000.523778676006
1.45,5010.036019864784,5000.48055464747,5000.479212403186
1.5,5011.290381796245,5000.440913979806,5000.439417910052
1.55,5012.667479271891,5000.405431090549,5000.403764772302
1.6,5014.172211095289,5000.373575888346,5000.3717217898475
1.65,5015.809471289324,5000.344899507519,5000.342838952475
1.7,5017.584122032043,5000.319019970094,5000.316733101935
1.75,5019.500970357869,5000.295610705132,5000.293076451313
1.8,5021.564748005925,5000.274391294259,5000.271587330632
1.85,5023.78009394249,5000.255119964657,5000.252022679898
1.9,5026.151539190717,5000.23758746335,5000.234171923435
1.95,5028.683493678611,5000.221612030577,5000.217851943332
2.0,5031.380234873883,5000.207035253168,5000.202902932877
2.05,5034.245898017057,5000.193718626712,5000.189184958785
2.1,5037.2844677963085,5000.181540691742,5000.176575097453
2.15,5040.499771331562,5000.170394637348,5000.164965038641
2.2,5043.895472353734,5000.160186287281,5000.154259071642
2.25,5047.475066478945,5000.150832400585,5000.14437238598
2.3,5051.241877488418,5000.142259232022,5000.135229631916
2.35,5055.199054533214,5000.1344013080625,5000.126763696504
2.4,5059.349570189761,5000.127200382437,5000.1189146592205
2.45,5063.696219297604,5000.120604541906,5000.111628897805
2.5,5068.241618515419,5000.114567438119,5000.104858320206
2.55,5072.988206535148,5000.109047625772,5000.0985597028075
2.6,5077.938244897634,5000.1040079906115,5000.0926941185235
2.65,5083.09381935608,5000.099415253701,5000.087226441134
2.7,5088.456841736515,5000.095239540588,5000.082124914547
2.75,5094.029052247096,5000.091454005886,5000.077360777465
2.8,5099.8120221904555,5000.088034505321,5000.0729079355115
2.85,5105.807157035867,5000.084959308535,5000.06874267413
2.9,5112.015699810152,5000.082208846998,5000.06484340658
2.95,5118.438734768645,5000.07976549222,5000.0611904522475
3.0,5125.077191309697,5000.077613360212,5000.0577658412
3.05,5131.9318480983575,5000.07573813872,5000.054553141509
3.1,5139.00333736705,5000.074126934261,5000.051537306389
3.15,5146.292149363095,5000.072768136441,5000.0487045386135
3.2,5153.798636914982,5000.071651297354,5000.046042170013
3.25,5161.523020091285,5000.070767024213,5000.043538554209
3.3,5169.465390927993,5000.07010688356,5000.041182970928
3.35,5177.625718201968,5000.069663315689,5000.038965540532
3.4,5186.003852229934,5000.069429558045,5000.036877147521
3.45,5194.59952967423,5000.069399576554,5000.0349093719715
3.5,5203.412378338147,5000.069568003959,5000.033054427985
3.55,5212.441921935284,5000.069930084367,5000.0313051083485
3.6,5221.68758481885,5000.070481623312,5000.029654734708
3.65,5231.148696658308,5000.0712189426995,5000.028097112629
3.7,5240.824497052045,5000.072138840123,5000.026626491028
3.75,5250.714140066112,5000.073238552058,5000.025237525482
3.8,5260.816698690199,5000.07451572052,5000.023925245015
3.85,5271.13116920322,5000.075968362833,5000.022685021974
3.9,5281.656475441868,5000.077594844167,5000.021512544704
3.95,5292.39147296651,5000.079393852571,5000.020403792687
4.0,5303.334953119707,5000.081364376232,5000.019355013939
