tau_mid,N_8
0.35,14930566.366268633
0.85,14903959.391918125
1.35,14894575.456209367
1.85,14882577.001152908
2.35,14867224.019406304
2.85,14848401.33418885
3.35,14826104.105779476
3.85,14800362.320550784
4.35,14771222.494291898
4.85,14738741.735373957
5.35,14702985.257111859
5.85,14664025.094737003
6.35,14621939.298943872
6.85,14576811.280703824
7.35,14528729.24407324
7.85,14477785.693902822
8.35,14424076.907139303
8.85,14367702.463992614
9.35,14308764.748272723
9.85,14247368.49257139
10.35,14183620.29696897
10.85,14117628.215153491
11.35,14049501.277977679
11.85,13979349.094125418
12.35,13907281.463800779
12.85,13833407.973869393
13.35,13757837.66106109
13.85,13680678.649728104
14.35,13602037.920477567
