tau_mid,Energy_T_N2,Energy_H_N2,Energy_T_N4,Energy_H_N4,Energy_T_N8,Energy_H_N8,Energy_T_N16,Energy_H_N16,Energy_T_N0,Energy_H_N0
0.30000000000000004,476837.96163566416,477173.2530271327,477096.2829644787,477180.1512253865,477160.93867821345,477181.90858509514,477177.10732424376,477182.3499791332,477182.4972930005,477182.4972930005
0.5,472412.5139668093,473335.2187762316,473110.4601382851,473341.47715819057,473285.45724809554,473343.2328665103,473329.2385503377,473343.68379113387,473343.83516631945,473343.83516631945
0.7000000000000001,470570.6408275409,472372.0780749028,471924.18906838895,472375.8438342586,472264.4569504684,472377.45205790433,472349.6422542003,472377.89612653723,472378.0478918712,472378.0478918712
0.9,469023.2304453887,471991.31246965897,471243.8199246421,471989.3536171313,471803.99809151515,471990.60307881754,471944.3604387234,471991.0255647443,471991.17621449806,471991.17621449806
1.1,467391.05376229086,471809.4151459875,470684.1893846161,471796.56260859716,471518.5333481833,471797.11961946223,471727.8215634355,471797.49904534954,471797.64697269927,471797.64697269927
1.3,465571.442086646,471718.50690981146,470135.38982931274,471687.22109341715,471297.6781106233,471686.5950726966,471589.6108032076,471686.90027110616,471687.04332311463,471687.04332311463
1.5000000000000002,463531.987364937,471680.08966197824,469556.5805972309,471620.0821743712,471100.02360329655,471617.59472543077,471488.28321628465,471617.78263875394,471617.917898722,471617.917898722
1.7000000000000002,461264.46115709585,471679.039785096,468930.0330522119,471576.9473828334,470907.18422296096,471571.7029067549,471405.41106548224,471571.7165075228,471571.8401456715,471571.8401456715
1.9000000000000001,458770.87024616735,471709.7479801387,468247.3236102729,471548.86104816885,470709.99320241815,471539.7186138409,471331.7795871445,471539.48495252576,471539.5920646864,471539.5920646864
2.1,456058.2847314845,471771.0375966577,467504.3073992422,471531.08565870364,470503.47912065656,471516.63202852913,471262.36349634273,471516.0602644376,471516.1447503003,471516.1447503003
2.3000000000000003,453136.59098540765,471864.0113203705,466699.02082884795,471521.0063695516,470284.77181386435,471499.53045197733,471194.23295483075,471498.5099158838,471498.56433640997,471498.56433640997
2.5000000000000004,450017.3706745323,471991.0252606441,465830.71131485945,471517.162855946,470052.13544748677,471486.63140873285,471125.5867808666,471485.02977037994,471485.045198233,471485.045198233
2.7000000000000006,446713.2650916933,472155.14774343895,464899.3499315696,471518.764258238,469804.48502461764,471476.79919313476,471055.26890231157,471474.46053564205,471474.426459243,471474.426459243
2.9000000000000004,443237.57001639454,472359.8462995963,463905.3694581847,471525.4296649963,469541.1283680033,471469.2868934188,470982.5104773349,471466.02988459484,471465.93404360034,471465.93404360034
3.1000000000000005,439603.9508028553,472608.79105167167,462849.5151158458,471537.04141427233,469261.6209169926,471463.59123437485,470906.7848151697,471459.2073766963,471459.0356262371,471459.0356262371
3.3000000000000003,435826.226578642,472905.7221317833,461732.754724001,471553.65792123205,468965.6804107979,471459.3673104479,470827.72197999904,471453.6190623637,471453.35527728754,471453.35527728754
3.5000000000000004,431918.19865521626,473254.3552495779,460556.2221079209,471575.4598528875,468653.1344542403,471456.3762031584,470745.0566933985,471448.9953862867,471448.6212753553,471448.6212753553
3.7000000000000006,427893.51034439774,473658.3118840086,459321.17954749294,471602.71541993687,468323.8877755214,471454.45229605923,470658.59539789776,471445.1382517565,471444.6333035149,471444.6333035149
3.9000000000000004,423765.5308439112,474121.06624884246,458028.99145935907,471635.7569558176,467977.90053464985,471453.4816409967,470568.1948905274,471441.8996552269,471441.2409168223,471441.2409168223
4.1,419547.259733693,474645.9053855923,456681.10562118865,471674.96509309165,467615.1740920073,471453.3877892475,470473.7480563985,471439.16742089175,471438.32945153705,471438.32945153705
4.3,415251.24855367164,475235.8987144489,455279.03837433807,471720.7569315846,467235.74109210464,471454.12193923554,470375.1741782274,471436.8555113803,471435.8102259702,471435.8102259702
4.5,410889.5384205385,475893.87622646283,453824.3632350814,471773.57764004427,466839.6588017273,471455.6563438108,470272.4122324581,471434.89732521994,471433.61379773536,471433.61379773536
4.7,406473.611372509,476622.41319182626,452318.7012062821,471833.8937466965,466427.00391537487,471457.97918307903,470165.41597385856,471433.2407823996,471431.68527038925,471431.68527038925
4.9,402014.3545161658,477423.8209073646,450763.7124907269,471902.1878131627,465997.8693551984,471461.09144029656,470054.1506335777,471431.84502414486,471429.9807068891,471429.9807068891
5.1000000000000005,397522.0352984004,478300.1422271403,449161.0894127573,471978.95429510635,465552.36123951286,471465.0039411221,469938.59035551344,471430.6778506377,471428.46476318536,471428.46476318536
5.3,393006.28698265227,479253.1515482258,447512.5498234635,472064.69583227404,465090.5972224029,471469.7357737857,469818.71623091376,471429.71375680686,471427.108708747,471427.108708747
5.5,388476.1026637491,480284.3580731398,445819.8311990749,472159.9201810148,464612.7047446167,471475.31261646317,469694.5150585331,471428.9326945443,471425.8890276506,471425.8890276506
5.7,383939.83702499984,481395.01220583246,444084.68519709114,472265.13753847656,464118.8198718038,471481.76565658755,469565.9781056168,471428.31883474067,471424.786417239,471424.786417239
5.9,379405.21459752164,482586.1144077166,442308.872601287,472380.85818007914,463609.08638719283,471489.1307667548,469433.1003221766,471427.8597832609,471423.78486634855,471423.78486634855
6.1000000000000005,374879.3431864183,483858.4256666559,440494.1585354715,472507.5902763267,463083.6550041411,471497.447801357,469295.87982191064,471427.5460640489,471422.8710994218,471422.8710994218
6.3,370368.7319465124,485212.4797103626,438642.3081651802,472645.8381176486,462542.6826205375,471506.7599346671,469154.3170973409,471427.3703347698,471422.0339951172,471422.0339951172
6.5,365879.3128859551,486648.5961664444,436755.0823109078,472796.10012469406,461986.3318426645,471517.1132724211,469008.41506975726,471427.32744053664,471421.2642462129,471421.2642462129
6.7,361416.46507880837,488166.8944302087,434834.23402720224,472958.8677735424,461414.7705876267,471528.5565436185,468858.17801974947,471427.41334255005,471420.5539322256,471420.5539322256
6.9,356985.04093616584,489767.3080330617,432881.50428473944,473134.6234212499,460828.1715753915,471541.1406795453,468703.6123249801,471427.6258627061,471419.89646309864,471419.89646309864
7.1000000000000005,352589.3937011276,491449.59898109094,430898.6194146316,473323.8399072436,460226.71203289647,471554.91860902973,468544.72529420914,471427.9635144327,471419.2861654333,471419.2861654333
7.3,348233.4059727999,493213.3723254606,428887.2874187717,473526.9787881473,459610.57338103827,471569.94503644743,468381.5256701174,471428.42601106403,471418.71821638313,471418.71821638313
7.5,343920.5183285978,495058.0901523253,426849.19523982157,473744.48947538243,458979.94079903694,471586.2760936633,468214.02307788533,471429.0137139251,471418.1885142307,471418.1885142307
7.7,339653.7580502202,496983.08539084304,424786.0061147991,473976.80832582666,458335.0032225829,471603.9694368847,468042.2281833746,471429.72779415105,471417.69342827535,471417.69342827535
7.9,335435.7676323292,498987.57535517693,422699.35722207,474224.3579155278,457675.95294949174,471623.0839412543,467866.15232157975,471430.56986123207,471417.22997072764,471417.22997072764
8.1,331268.8322430512,501070.6741027086,420590.8573551579,474487.546199872,457002.9853787282,471643.6795315828,467685.80779488984,471431.5422660145,471416.79545973276,471416.79545973276
8.299999999999999,327154.9067052276,503231.4046697498,418462.08493063465,474766.7659022947,456316.29881723085,471665.81708262436,467501.2073128959,471432.6475388318,471416.3875693792,471416.3875693792
8.5,323095.6414692804,505468.710629304,416314.5862432129,475062.3940401131,455616.0943709281,471689.55840643455,467312.3643910877,471433.88879376656,471416.0043221878,471416.0043221878
8.7,319092.40704691457,507781.4662906563,414149.8738007026,475374.79140049,454902.57566230185,471714.96606046375,467119.2931324919,471435.2695111931,471415.6438354338,471415.6438354338
8.899999999999999,315146.3178922677,510168.48718255205,411969.4251675347,475704.3024596778,454175.94862036884,471742.10322960245,466922.00800960476,471436.79332019057,471415.30464264983,471415.30464264983
9.1,311258.2544288917,512628.5388881717,409774.6812968678,476051.25458015344,453436.4213926982,471771.03373444977,466720.52417680447,471438.46431629726,471414.9853053839,471414.9853053839
9.299999999999999,307428.8841433121,515160.34571508615,407567.045998603,476415.95838171843,452684.2040918736,471801.82186744676,466514.85698837694,471440.28657739767,471414.6845737643,471414.6845737643
9.5,303658.6814045258,517762.5987165447,405347.88464519306,476798.70710679627,451919.50864298077,471834.53233298415,466305.0225938928,471442.2647675938,471414.4013880635,471414.4013880635
9.7,299947.94556151115,520433.9622962076,403118.52388491173,477199.7770330353,451142.5485767018,471869.23013006145,466091.03731391946,471444.40350910975,471414.134626344,471414.134626344
9.9,296296.8183819484,523173.0811645974,400880.25056579936,477619.4268422347,450353.5390162681,471905.9806367635,465872.91789698286,471446.7076443151,471413.8834926991,471413.8834926991
